 196 ; 10 копеек ; 1822 ; СПБ ПД ; Ag ; XF- ; 18 ; dimon46 ; 1000 
 197 ; 5 копеек ; 1823 ; СПБ ПД ; Ag ; XF+ ; 21 ; Участник № 30 ; 2800 
 198 ; 2 злотых ; 1823 ; IB Польша ; Ag ; VF-/VF+ ; 26 ; SАП ; 5264 
 199 ; 5 копеек ; 1824 ; СПБ ПД ; Ag ; XF+ ; 9 ; Участник № 4 ; 1000 
 200 ; 2 копейки ; 1824 ; КМ АМ ; Cu ; XF+ ; 15 ; Участник № 51 ; 10000 
 101 ; Полушка ; 1770 ; ЕМ ; Cu ; VF+ ; 11 ; fikus ; 1181 
 102 ; Гривенник ; 1771 ; СПБ TI ; Ag ; VF+ ; 12 ; andreyx  ; 2607 
 103 ; 10 копеек ; 1771 ; КМ "Сибирь" ; Cu ; VF+ ; 15 ; Участник № 9 ; 6000 
 104 ; Пара-3 деньги (Петров-7р, Ильин-5р) ; 1771 ; S Валахия ; Cu ; VF/VF+ ; 54 ; ZOLTAN333 ; 25511 
 105 ; Пара-3 деньги ; 1772 ; Валахия ; Cu ; VF ; 23 ; Sky2 ; 4284 
 106 ; Полушка. Редка ; 1774 ; ЕМ ; Cu ; F-VF ; 55 ; fikus ; 55000 
 107 ; 10 копеек ; 1776 ; КМ "Сибирь" ; Cu ; VF+ ; 8 ; Участник № 746 ; 6000 
 108 ; Полушка ; 1777 ; КМ "Сибирь" ; Cu ; VF ; 13 ; TDN ; 1128 
 109 ; 5 копеек. Крым. Шахин Гирей (IV год правления). 1191 л.х. ; 1777 ;  ; Cu ; F-VF ; 7 ; alex-05 ; 4643 
 110 ; 1 копейка. Крым. Шахин Гирей (V год правления). 1191 л.х. ; 1777 ;  ; Cu ; F-VF ; 7 ; Участник № 18 ; 600 
 111 ; Рубль ; 1778 ; СПБ ФЛ ; Ag ; AU ; 14 ; Синоптик ; 50000 
 112 ; Копейка ; 1779 ; КМ "Сибирь" ; Cu ; VF+ ; 11 ; cash ; 2000 
 113 ; 15 копеек (Петров-1р) ; 1781 ; СПБ ; Ag ; VF-XF ; 44 ; Участник № 18 ; 4800 
 114 ; 5 копеек ; 1781 ; ЕМ ; Cu ; XF- ; 3 ; Участник № 66 ; 230 
 115 ; 5 копеек ; 1782 ; КМ ; Cu ; VF+ ; 35 ; кабан ; 1590 
 116 ; 5 копеек ; 1783 ; КМ ; Cu ; VF-XF ; 11 ; TDN ; 1134 
 117 ; 20 копеек ; 1784 ; СПБ ; Ag ; VF-XF ; 13 ; leo 2 ; 2500 
 118 ; 5 копеек ; 1784 ; КМ ; Cu ; XF ; 43 ; Участник № 9 ; 3600 
 119 ; Гривенник ; 1785 ; СПБ ; Ag ; XF+ ; 5 ; Участник № 30 ; 4200 
 120 ; 5 копеек ; 1785 ; КМ ; Cu ; VF-XF ; 4 ; Участник № 66 ; 1200 
 121 ; Денга ; 1786 ; КМ ; Cu ; VF+ ; 40 ; Участник № 30 ; 1900 
 122 ; Полуполтинник ; 1787 ; СПБ ЯА ; Ag ; XF ; 30 ; Участник № 30 ; 11000 
 123 ; Полуполтинник ; 1788 ; СПБ ЯА ; Ag ; XF- ; 28 ; Участник № 30 ; 12000 
 124 ; 2 копейки ; 1788 ; СПМ ; Cu ; VF ; 3 ; Sky2 ; 51 
 125 ; 2 копейки ; 1788 ; ММ ; Cu ; VF+ ; 11 ; SadKo ; 322 
