 182 ; 2 копейки (Ильин-8р) ; 1810 ; СПБ ПС ; Cu ; VF- ; 36 ; смит ; 14382 
 183 ; 2 копейки ; 1810 ; ЕМ НМ ; Cu ; XF+ ; 21 ; Участник № 9 ; 1900 
 184 ; Копейка (Ильин-3р, редкая) ; 1810 ; СПБ МК ; Cu ; VF+ ; 18 ; Участник № 9 ; 23000 
 185 ; Деньга ; 1811 ; ИМ МК ; Cu ; XF ; 26 ; maka ; 3927 
 186 ; Деньга ; 1811 ; ИМ МК ; Cu ; VF ; 18 ; Участник № 9 ; 1800 
 187 ; 20 копеек ; 1813 ; СПБ ПС ; Ag ; XF- ; 25 ; antiquar ; 1887 
 188 ; 5 копеек ; 1813 ; СПБ ПС ; Ag ; AU ; 37 ; Участник № 136 ; 2600 
 189 ; Деньга ; 1813 ; ИМ ПС ; Cu ; XF- ; 22 ; Участник № 51 ; 7000 
 190 ; Рубль ; 1814 ; СПБ МФ ; Ag ; XF ; 17 ; Участник № 1462 ; 14000 
 191 ; 2 копейки ; 1814 ; ЕМ НМ ; Cu ; AU ; 15 ; Участник № 51 ; 6500 
 192 ; 10 копеек ; 1815 ; СПБ МФ ; Ag ; VF+ ; 22 ; antiquar ; 1887 
 193 ; 5 копеек ; 1815 ; СПБ МФ ; Ag ; AU/Unc ; 26 ; сс400 ; 1836 
 194 ; Рубль ; 1817 ; СПБ ПС ; Ag ; AU ; 15 ; finger ; 22000 
 195 ; Рубль ; 1817 ; СПБ ПС ; Ag ; XF ; 18 ; Участник № 1462 ; 9000 
 196 ; Рубль. Редок. (Ильин-4р). Гурт ошибка вес "28 14/25 доли" ; 1817 ; СПБ ПС ; Ag ; XF/AU ; 24 ; AVA01 ; 80669 
 197 ; Рубль ; 1818 ; СПБ ПС ; Ag ; AU ; 32 ; Участник № 1444 ; 15000 
 198 ; Полтина ; 1818 ; СПБ ПС ; Ag ; XF+ ; 10 ; Участник № 51 ; 17000 
 199 ; 5 копеек ; 1818 ; СПБ ПС ; Ag ; AU ; 23 ; Участник № 222 ; 9000 
 200 ; 5 рублей. М-6,46г ; 1819 ; СПБ МФ ; Au ; VF ; 33 ; Участник № 51 ; 33000 
 101 ; 5 копеек ; 1773 ; КМ "Сибирь" ; Cu ; VF+ ; 9 ; кабан ; 8095 
 102 ; 5 копеек ; 1773 ; КМ "Сибирь" ; Cu ; VF ; 5 ; Участник № 51 ; 6800 
 103 ; Рубль ; 1774 ; СПБ QЛ TИ ; Ag ; AU ; 41 ; tisa66 ; 45555 
 104 ; 5 копеек ; 1774 ; КМ "Сибирь" ; Cu ; VF-XF ; 11 ; кабан ; 5100 
 105 ; 5 копеек ; 1774 ; КМ "Сибирь" ; Cu ; VF-XF ; 7 ; кабан ; 7631 
 106 ; Копейка ; 1774 ; КМ "Сибирь" ; Cu ; VF+ ; 32 ; Участник № 621 ; 1300 
 107 ; Рубль ; 1775 ; СПБ QЛ TИ ; Ag ; XF- ; 27 ; Седой ; 15000 
 108 ; 15 копеек ; 1775 ; ММД ; Ag ; XF/AU ; 27 ; Участник № 222 ; 12500 
 109 ; Гривенник ; 1775 ; ММД ; Ag ; VF+ ; 20 ; Участник № 222 ; 17000 
 110 ; 10 копеек ; 1775 ; КМ "Сибирь" ; Cu ; VF-XF ; 36 ; Участник № 657 ; 21000 
