 104 ; Полушка (Петров-5р) ; 1779 ; КМ "Сибирь" ; Cu ; F+ ; 7 ; кабан ; 674 
 105 ; Рубль ; 1780 ; СПБ ИЗ ; Ag ; VF-XF/XF+ ; 9 ; vovan100 ; 9282 
 106 ; 10 копеек ; 1780 ; КМ "Сибирь" ; Cu ; XF- ; 9 ; набак ; 7142 
 107 ; Рубль ; 1781 ; СПБ ИЗ ; Ag ; XF- ; 15 ; Волк ; 25001 
 108 ; 20 копеек ; 1783 ; СПБ ; Ag ; XF ; 29 ; sem ; 12240 
 109 ; Лот снят ;  ;  ;  ;  ; 0 ;  ; 0 
 110 ; 20 копеек ; 1784 ; СПБ ; Ag ; VF+ ; 29 ; Участник № 9 ; 6000 
 111 ; 20 копеек ; 1785 ; СПБ ; Ag ; VF+ ; 14 ; Участник № 42 ; 6500 
 112 ; 5 копеек ; 1785 ; КМ ; Cu ; VF-XF ; 11 ; ААФ ; 4000 
 113 ; Денга ; 1785 ; КМ ; Cu ; VF ; 7 ; кабан ; 1587 
 114 ; Полушка (Ильин-3р) ; 1785 ; КМ ; Cu ; F-VF ; 7 ; набак ; 2552 
 115 ; Лот снят ;  ;  ;  ;  ; 0 ;  ; 0 
 116 ; Лот снят ;  ;  ;  ;  ; 0 ;  ; 0 
 117 ; 5 копеек ; 1788 ; ММ ; Cu ; VF+ ; 18 ; 751 ; 1500 
 118 ; Полушка (Ильин-5р) ; 1788 ; КМ ; Cu ; VF- ; 5 ; набак ; 2552 
 119 ; Денга (Ильин-5р) ; 1789 ; КМ ; Cu ; F-VF ; 15 ; Участник № 30 ; 8500 
 120 ; Лот снят ;  ;  ;  ;  ; 0 ;  ; 0 
 121 ; Копейка ; 1790 ; ЕМ ; Cu ; VF+ ; 5 ; кабан ; 1022 
 122 ; Копейка ; 1790 ; ЕМ ; Cu ; VF- ; 9 ; o.k. ; 340 
 123 ; Лот снят ;  ;  ;  ;  ; 0 ;  ; 0 
 124 ; Лот снят ;  ;  ;  ;  ; 0 ;  ; 0 
 125 ; 5 копеек ; 1791 ; ЕМ Павл.перечекан ; Cu ; VF+ ; 54 ; finger ; 50000 
 126 ; Денга ; 1792 ; КМ ; Cu ; VF ; 7 ; кабан ; 1587 
 127 ; Полушка (Ильин-4р) ; 1792 ; КМ ; Cu ; VF- ; 7 ; набак ; 2346 
 128 ; Денга ; 1793 ; ЕМ ; Cu ; VF ; 5 ; кабан ; 1179 
 129 ; Денга ; 1793 ; КМ ; Cu ; VF- ; 5 ; кабан ; 716 
 130 ; Лот снят ;  ;  ;  ;  ; 0 ;  ; 0 
 131 ; Полушка (Ильин-5р) ; 1793 ;  ; Cu ; VF- ; 29 ; кабан ; 7310 
 132 ; Полушка (Ильин-5р) ; 1794 ; КМ ; Cu ; VF- ; 5 ; набак ; 2552 
