 182 ; 5 копеек ; 1830 ; СПБ НГ ; Ag ; XF+ ; 26 ; dimon46 ; 3740 
 183 ; 5 копеек ; 1830 ; СПБ НГ ; Ag ; AU ; 25 ; hummer ; 8001 
 184 ; 3 рубля, м=10,23г ; 1831 ; СПБ ; Pt ; VF+ ; 19 ; Участник № 9 ; 76000 
 185 ; Рубль ; 1831 ; СПБ НГ ; Ag ; VF-XF ; 20 ; Участник № 1177 ; 16000 
 186 ; 5 злотых ; 1831 ; KG польское восстание 1830-183 ; Ag ; VF-XF ; 86 ; leo 2 ; 10100 
 187 ; Абаз ; 1831 ; АТ Грузия ; Ag ; VF+ ; 22 ; Участник № 545 ; 11000 
 188 ; Копейка (Ильин-1р) ; 1831 ; СМ ; Cu ; VF+ ; 9 ; Участник № 16 ; 600 
 189 ; 3 рубля, м=10,26г ; 1832 ; СПБ ; Pt ; VF-XF ; 11 ; тнн ; 55000 
 190 ; Рубль ; 1832 ; СПБ НГ ; Ag ; XF ; 43 ; finger ; 11000 
 191 ; Копейка ; 1832 ; ЕМ ФХ ; Cu ; XF- ; 5 ; Участник № 1205 ; 2000 
 192 ; Рубль ; 1833 ; СПБ НГ ; Ag ; XF+/XF ; 41 ; A.G. ; 11000 
 193 ; 5 копеек ; 1833 ; ЕМ ФХ ; Cu ; XF+ ; 22 ; Участник № 114 ; 3200 
 194 ; 5 злотых ; 1834 ; IP Польша ; Ag ; VF-XF ; 52 ; Ghb ; 16932 
 195 ; 3 рубля ; 1835 ; СПБ ; Pt ; XF ; 14 ; Участник № 9 ; 77500 
 196 ; 5 копеек ; 1835 ; СПБ НГ ; Ag ; AU ; 42 ; Участник № 30 ; 8500 
 197 ; Рубль ; 1836 ; СПБ НГ ; Ag ; AU ; 36 ; Участник № 1168 ; 12000 
 198 ; 5 копеек ; 1836 ; ЕМ ФХ ; Cu ; XF ; 16 ; Участник № 114 ; 2800 
 199 ; Копейка ; 1836 ; ЕМ ФХ ; Cu ; XF- ; 17 ; Участник № 51 ; 5500 
 200 ; Рубль ; 1837 ; СПБ НГ ; Ag ; XF+ ; 23 ; A.G. ; 9747 
 101 ; 5 копеек ; 1787 ; КМ ; Cu ; VF-XF ; 12 ; Участник № 9 ; 1300 
 102 ; 5 копеек ; 1787 ; ЕМ ; Cu ; XF- ; 21 ; Участник № 114 ; 900 
 103 ; 5 копеек (Петров-9р. Ильин-10р) ; 1787 ; ТМ ; Cu ; F-VF ; 12 ; 155оа ; 23052 
 104 ; 5 копеек ; 1788 ; ЕМ ; Cu ; XF- ; 7 ; sergfokin ; 1000 
 105 ; 5 копеек (Петров-3р) ; 1788 ; КМ ; Cu ; VF- ; 31 ; 751 ; 6460 
 106 ; 2 копейки ; 1788 ; ММ ; Cu ; VF+ ; 14 ; Участник № 16 ; 1100 
 107 ; 2 копейки (Петров-8р, Ильин-3р) ; 1788 ; СПМ ; Cu ; F-VF ; 19 ; fikus ; 9000 
 108 ; 5 копеек ; 1789 ; ЕМ ; Cu ; VF-XF ; 23 ; Участник № 114 ; 600 
 109 ; Копейка ; 1789 ; ЕМ ; Cu ; XF- ; 5 ; gerz ; 827 
 110 ; Денга (Петров-5р, Ильин-5р) ; 1789 ; КМ ; Cu ; VF- ; 14 ; AVA 101 ; 5102 
 111 ; 20 копеек ; 1790 ; СПБ ; Ag ; VF-XF ; 28 ; Участник № 9 ; 5800 
 112 ; 5 копеек ; 1790 ; АМ ; Cu ; VF-XF ; 8 ; Участник № 66 ; 900 
 113 ; 2 копейки ; 1790 ; ЕМ ; Cu ; VF+ ; 13 ; Участник № 30 ; 3200 
