 5525 ; Лот бон иностранных . 2 шт ;  ;  ;  ; AU ; 27 ; Yuraha76 ; 85 
 5526 ; Лот иностранных бон.  Мадагаскар (4 штуки) ;  ;  ;  ; AU ; 45 ; yuvg ; 257 
 5527 ; Лот иностранных бон (2 штуки). Польша ;  ;  ;  ;  ; 8 ; an78gg ; 53 
 5528 ; Лот иностранных бон. (2 штуки по 200 крузейро) ;  ;  ;  ; AU ; 18 ; Alexander_Vl ; 104 
 5529 ; Лот иностранных бон. (2 штуки по 50000 крузейро) ;  ;  ;  ; AU ; 27 ; Yuraha76 ; 161 
 5530 ; Лот иностранных бон (3 штуки) ;  ;  ;  ;  ; 12 ; Krydein ; 72 
 5531 ; Лот иностранных бон (2 штуки) Казахстан ;  ;  ;  ; AU ; 19 ; heavy_fly ; 227 
 5532 ; Лот бон Гаяны. 2 шт ;  ;  ;  ;  ; 13 ; Копеечка ; 57 
 5533 ; Лот бон Казахстана. 4 шт ;  ;  ;  ;  ; 39 ; heavy_fly ; 254 
 5534 ; Лот бон иностранных. 3 шт ;  ;  ;  ;  ; 20 ; wwi.i ; 188 
