 30 ; Копейка. Крым. Шахин-Гирей. 4-й год правления. Узорчатый гурт ; 1191 (1777) ;  ; Cu ; VF- ; 44 ; Участник № 410 ; 2100 
 31 ; 10 копеек ; 1779 ; КМ "Сибирь" ; Cu ; VF+ ; 26 ; TDN ; 7854 
 32 ; 5 копеек ; 1779 ; ЕМ ; Cu ; XF ; 19 ; igorf ; 2550 
 33 ; 15 копеек ; 1781 ; СПБ ; Ag ; AU ; 38 ; Участник № 30 ; 30000 
 34 ; 5 копеек ; 1782 ; КМ ; Cu ; XF ; 11 ; Участник № 1205 ; 3600 
 35 ; 20 копеек ; 1786 ; СПБ ; Ag ; AU ; 31 ; Участник № 30 ; 26000 
 36 ; Полуполтинник ; 1787 ; СПБ ЯА ; Ag ; XF+ ; 31 ; Участник № 30 ; 26000 
 37 ; 5 копеек ; 1788 ; КМ ; Cu ; VF-XF ; 23 ; Участник № 114 ; 3600 
 38 ; Денга ; 1788 ; КМ ; Cu ; VF+ ; 17 ; Участник № 1205 ; 2200 
 39 ; Копейка ; 1789 ; ЕМ ; Cu ; VF+ ; 10 ; Участник № 66 ; 375 
 40 ; Полушка ; 1789 ; ЕМ ; Cu ; VF- ; 9 ; Участник № 55 ; 1200 
 41 ; Полушка ; 1789 ;  ; Cu ; F-VF ; 21 ; Конрос бид 32 ; 3001 
 42 ; 5 копеек ; 1790 ; ЕМ ; Cu ; XF+ ; 12 ; Участник № 523 ; 1700 
