 31 ; 15 копеек ; 1784 ; СПБ ; Ag ; VF+ ; 12 ; Сыч ; 3064 
 32 ; Гривенник ; 1785 ; СПБ ; Ag ; AU/XF ; 36 ; Участник № 51 ; 5600 
 33 ; 5 копеек ; 1791 ; АМ ; Cu ; XF+ ; 47 ; 100924 ; 1532 
 34 ; Гривенник (Ильин-3р) ; 1793 ; СПБ ; Ag ; VF- ; 18 ; ААФ ; 2204 
 35 ; 2 копейки (Петров-1,5р) ; 1793 ; Е- М Павл.перечекан ; Cu ; VF ; 47 ; Участник № 523 ; 2600 
 36 ; 5 копеек ; 1794 ; АМ ; Cu ; XF ; 17 ; Sokol1 ; 1636 
 37 ; Полуполтинник ; 1798 ; СМ МБ ; Ag ; VF-XF ; 60 ; Участник № 147 ; 21000 
 38 ; 5 копеек (Петров-2р, Ильин-1р) ; 1803 ; КМ ; Cu ; VF-XF ; 11 ; Участник № 9 ; 3600 
 39 ; 5 копеек (Петров-2р, Ильин-1р) ; 1803 ; КМ ; Cu ; VF+ ; 6 ; laserjet ; 2382 
 40 ; 5 копеек (Петров-2р, Ильин-1р) ; 1805 ; КМ ; Cu ; VF+ ; 25 ; батя ; 5339 
 41 ; 5 копеек (Петров-2,5р, Ильин-2р) ; 1806 ; КМ ; Cu ; VF+ ; 7 ; Участник № 9 ; 2500 
 42 ; 5 копеек (Петров-3р, Ильин-2р) ; 1807 ; КМ ; Cu ; VF+ ; 5 ; dima1501 ; 3060 
 43 ; Рубль (Петров-3р) ; 1809 ; СПБ МК ; Ag ; VF-XF ; 102 ; swamp ; 14394 
 44 ; Двойной абаз ; 1809 ; АК Грузия ; Ag ; VF+ ; 124 ; Участник № 9 ; 7500 
 45 ; Полтина (Петров-3р, Ильин-3р) ; 1810 ; СПБ ФГ ; Ag ; F-VF ; 46 ; tv ; 15302 
 46 ; Рубль ; 1811 ; СПБ ФГ ; Ag ; XF- ; 88 ; Aleksey ; 6018 
 47 ; 20 копеек ; 1811 ; СПБ ФГ ; Ag ; VF-XF ; 53 ; ФВС ; 1247 
 48 ; Деньга ; 1813 ; ИМ ПС ; Cu ; VF+ ; 34 ; Участник № 9 ; 1300 
 49 ; 1 злотый ; 1818 ; IB Польша ; Ag ; XF+ ; 24 ; vitas123 ; 4000 
 50 ; 2 злотых ; 1819 ; IB Польша ; Ag ; XF ; 36 ; Участник № 9 ; 8000 
