 126 ; 5 копеек. ЕМ ; 179? ;  ; Cu ; VF+ ; 43 ; Участник № 51 ; 11000 
 127 ; 5 копеек ; 1796 ; ЕМ Павл.перечек. ; Cu ; XF ; 51 ; Участник № 30 ; 17000 
 128 ; Деньга ; 1796 ;  ;  ; AU ; 18 ; Fedor_K ; 26010 
 129 ; Полушка ; 1796 ;  ;  ; AU ; 13 ; Fedor_K ; 24480 
 130 ; 2 копейки ; 1797 ; АМ ; Cu ; VF ; 19 ; 9191 ; 261 
 131 ; Рубль ; 1798 ; СМ МБ ; Ag ; VF+ ; 36 ; тигр ; 14892 
 132 ; 2 копейки ; 1798 ; АМ ; Cu ; VF-XF ; 23 ; 100924 ; 2011 
 133 ; Деньга ; 1798 ; ЕМ ; Cu ; VF ; 13 ; Седой ; 1000 
 134 ; 2 копейки ; 1802 ; ЕМ ; Cu ; AU ; 16 ; Участник № 30 ; 10000 
 135 ; 5 копеек ; 1803 ; ЕМ ; Cu ; VF+ ; 6 ; Участник № 30 ; 1600 
 136 ; 5 копеек ; 1804 ; ЕМ ; Cu ; XF- ; 13 ; нафаня ; 3788 
 137 ; Полушка (Ильин-3р) ; 1804 ; КМ ; Cu ; VF ; 13 ; SSK ; 19952 
 138 ; 5 копеек ; 1805 ; ЕМ ; Cu ; VF-XF ; 27 ; alexander9595 ; 2267 
 139 ; Деньга ; 1805 ; ЕМ ; Cu ; F-VF ; 110 ; Участник № 636 ; 8500 
 140 ; 5 копеек ; 1809 ; ЕМ ; Cu ; XF+/XF- ; 54 ; 100924 ; 5202 
 141 ; 5 копеек ; 1809 ; ЕМ ; Cu ; XF- ; 38 ; aang ; 9367 
 142 ; 5 копеек ; 1810 ; ЕМ ; Cu ; VF- ; 22 ; Участник № 1 ; 11500 
 143 ; 2 копейки ; 1810 ; ЕМ НМ ; Cu ; XF+ ; 31 ; Участник № 9 ; 3400 
 144 ; 2 копейки ; 1810 ; КМ ; Cu ; VF-XF ; 7 ; инга ; 408 
 145 ; 2 копейки (Ильин-1р) ; 1810 ; КМ ПБ ; Cu ; F-VF ; 13 ; смит ; 3500 
 146 ; Деньга ; 1811 ; ИМ МК ; Cu ; VF+ ; 16 ; Участник № 147 ; 820 
 147 ; 2 копейки ; 1812 ; КМ ; Cu ; VF ; 13 ; Участник № 9 ; 3000 
 148 ; Рубль (Ильин-3р) ; 1813 ; СПБ ПС ; Ag ; XF+ ; 38 ; Участник № 147 ; 36000 
 149 ; 2 копейки (Петров-7р) ; 1814 ; СПБ ПС ; Cu ; F-VF ; 27 ; dimon46 ; 5667 
 150 ; Полтина ; 1817 ; СПБ ПС ; Ag ; AU ; 21 ; Misha ; 31620 
 51 ; 5 копеек ; 1759 ;  ; Cu ; VF+ ; 9 ; ST ; 331 
 52 ; Копейка ; 1759 ;  ; Cu ; VF ; 9 ; vvt ; 2856 
 53 ; 5 копеек ; 1760 ;  ; Cu ; VF+ ; 9 ; 9191 ; 1887 
 54 ; Солид ; 1760 ; Для Пруссии ; Ag ; VF- ; 22 ; Участник № 30 ; 3300 
 55 ; 5 копеек ; 1761 ;  ; Cu ; VF+ ; 11 ; fikus ; 1100 
 56 ; Полтина (Петров-3р) ; 1762 ; СПБ НК TI ; Ag ; VF- ; 40 ; leo 2 ; 14790 
 57 ; Рубль ; 1762 ; СПБ НК ; Ag ; VF+ ; 37 ; yurbor ; 46300 
 58 ; 2 копейки ; 1762 ;  ; Cu ; VF ; 41 ; Участник № 9 ; 16000 
 59 ; Рубль ; 1763 ; СПБ ЯI TI ; Ag ; VF-XF ; 19 ; Участник № 51 ; 18000 
 60 ; 2 копейки ; 1763 ; ММ ; Cu ; VF ; 11 ; 439 ; 750 
