 1090 ; Рубль ; 1901 ; (ФЗ) ; Ag ; XF+ ; 15 ; Продано в зале ; 24000 
 1091 ; Рубль ; 1909 ; (ЭБ) ; Ag ; AU ; 46 ; Продано в зале ; 98000 
 1092 ; Рубль ; 1911 ; (ЭБ) ; Ag ; XF+ ; 25 ; Продано в зале ; 28000 
 1093 ; Рубль ; 1912 ; На столетие отечественной войны 1812 г. ; Ag ; AU ; 17 ; Продано в зале ; 87000 
 1094 ; Рубль ; 1913 ; (ЭБ) ; Ag ; AU ; 17 ; Продано в зале ; 105000 
 1095 ; Рубль ; 1913 ; (ВС) ; Ag ; VF+ ; 5 ; ракот ; 66300 
 1096 ; Рубль ; 1914 ; (ВС) ; Ag ; XF/AU ; 10 ; Алексей Викторович ; 33111 
 1097 ; Рубль ; 1915 ; (ВС) ; Ag ; XF ; 13 ; verunk1 ; 18573 
 1098 ; Полтина ; 1733 ;  ; Ag ; VF+ ; 5 ; Isay ; 30600 
 151 ; Медаль в память открытия памятника Александру II в Финляндии. Имп. Александр II. Медальер Грилихес. D-69мм ; 1894 ;  ; Cu ; AU ; 15 ; Продано в зале ; 7200 
 152 ; Медаль. В память графа Р. Ребиндера. СПб м д. Медальер П. Уткин. D-49мм ; 1841 ;  ; Cu ; AU ; 9 ; Продано в зале ; 4200 
 1001 ; 10 рублей (Петров - 75р) ; 1762 ; ММД ТI ; Au ; VF+ ; 6 ; Продано в зале ; 510000 
 1002 ; 5 рублей ; 1817 ; СПБ ФГ ; Au ; VF+ ; 18 ; андрей&ка ; 45900 
 1003 ; 5 рублей ; 1830 ; СПБ ПД ; Au ; VF+ ; 12 ; Продано в зале ; 50000 
 1004 ; 5 рублей ; 1836 ; СПБ ПД ; Au ; XF/AU ; 7 ; маняня ; 44000 
 1005 ; 5 рублей ; 1839 ; СПБ АЧ ; Au ; AU/XF ; 14 ; Isay ; 40206 
